Date,Campus,Bus,Driver,Route,Scheduled Time,Entry Time,Exit Time,First Unload Time,Time Difference between Entry Time and Scheduled Time,Time Difference between First Unload Time and Scheduled Time,NumberUnloadedAtCampus
8/12/2025 12:00:00 AM,Anderson Elementary,800,Williams M,AND01 AM,7:35:00 AM,7:19:54 AM,,7:19:54 AM,,,
8/12/2025 12:00:00 AM,Anderson Elementary,801,Anderson C,AND02 AM,7:35:00 AM,7:10:39 AM,,7:10:39 AM,,,
8/12/2025 12:00:00 AM,Anderson Elementary,802,Davis R,AND03 AM,7:35:00 AM,7:18:17 AM,,7:18:17 AM,,,
8/12/2025 12:00:00 AM,Anderson Elementary,803,Brown K,AND04 AM,7:35:00 AM,7:23:10 AM,,7:23:10 AM,,,
8/12/2025 12:00:00 AM,Anderson Elementary,804,Johnson T,AND05 AM,7:35:00 AM,7:18:17 AM,,7:18:17 AM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,810,Miller S,BAM01 AM,7:35:00 AM,7:13:34 AM,,7:13:34 AM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,811,Taylor B,BAM02 AM,7:35:00 AM,7:29:55 AM,,7:29:55 AM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,812,Anderson C,BAM03 AM,7:35:00 AM,7:13:55 AM,,7:13:55 AM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,813,Miller S,BAM04 AM,7:35:00 AM,7:16:00 AM,,7:16:00 AM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,814,Anderson C,BAM05 AM,7:35:00 AM,7:26:23 AM,,7:26:23 AM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,820,Williams M,COO01 AM,7:35:00 AM,7:50:53 AM,,7:50:53 AM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,821,Williams M,COO02 AM,7:35:00 AM,7:44:49 AM,,7:44:49 AM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,822,Anderson C,COO03 AM,7:35:00 AM,7:24:45 AM,,7:24:45 AM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,823,Johnson T,COO04 AM,7:35:00 AM,7:23:37 AM,,7:23:37 AM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,824,Anderson C,COO05 AM,7:35:00 AM,7:15:13 AM,,7:15:13 AM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,830,Moore A,HER01 AM,7:35:00 AM,7:17:29 AM,,7:17:29 AM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,831,Williams M,HER02 AM,7:35:00 AM,7:24:34 AM,,7:24:34 AM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,832,Anderson C,HER03 AM,7:35:00 AM,7:10:34 AM,,7:10:34 AM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,833,Moore A,HER04 AM,7:35:00 AM,,,7:26:16 AM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,834,Taylor B,HER05 AM,7:35:00 AM,7:21:13 AM,,7:21:13 AM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,840,Anderson C,JEN01 AM,7:35:00 AM,7:44:10 AM,,7:44:10 AM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,841,Williams M,JEN02 AM,7:35:00 AM,7:45:15 AM,,7:45:15 AM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,842,Miller S,JEN03 AM,7:35:00 AM,7:20:15 AM,,7:20:15 AM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,843,Taylor B,JEN04 AM,7:35:00 AM,7:12:06 AM,,7:12:06 AM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,844,Miller S,JEN05 AM,7:35:00 AM,7:13:45 AM,,7:13:45 AM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,850,Brown K,LEW01 AM,7:35:00 AM,7:27:47 AM,,7:27:47 AM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,851,Taylor B,LEW02 AM,7:35:00 AM,7:29:05 AM,,7:29:05 AM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,852,Taylor B,LEW03 AM,7:35:00 AM,,,7:15:56 AM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,853,Anderson C,LEW04 AM,7:35:00 AM,7:26:02 AM,,7:26:02 AM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,854,Anderson C,LEW05 AM,7:35:00 AM,7:42:39 AM,,7:42:39 AM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,860,Wilson J,MAR01 AM,7:35:00 AM,7:42:51 AM,,7:42:51 AM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,861,Taylor B,MAR02 AM,7:35:00 AM,7:16:22 AM,,7:16:22 AM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,862,Miller S,MAR03 AM,7:35:00 AM,7:14:25 AM,,7:14:25 AM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,863,Miller S,MAR04 AM,7:35:00 AM,7:11:27 AM,,7:11:27 AM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,864,Miller S,MAR05 AM,7:35:00 AM,7:17:00 AM,,7:17:00 AM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,870,Williams M,REY01 AM,7:35:00 AM,7:50:21 AM,,7:50:21 AM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,871,Miller S,REY02 AM,7:35:00 AM,7:24:26 AM,,7:24:26 AM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,872,Johnson T,REY03 AM,7:35:00 AM,7:24:27 AM,,7:24:27 AM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,873,Brown K,REY04 AM,7:35:00 AM,7:21:32 AM,,7:21:32 AM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,874,Johnson T,REY05 AM,7:35:00 AM,7:15:39 AM,,7:15:39 AM,,,
8/12/2025 12:00:00 AM,Westfield Middle School,880,Moore A,WES01 AM,8:05:00 AM,,,7:38:49 AM,,,
8/12/2025 12:00:00 AM,Westfield Middle School,881,Johnson T,WES02 AM,8:05:00 AM,7:57:29 AM,,7:57:29 AM,,,
8/12/2025 12:00:00 AM,Westfield Middle School,882,Anderson C,WES03 AM,8:05:00 AM,7:43:28 AM,,7:43:28 AM,,,
8/12/2025 12:00:00 AM,Westfield Middle School,883,Davis R,WES04 AM,8:05:00 AM,7:58:45 AM,,7:58:45 AM,,,
8/12/2025 12:00:00 AM,Lakewood Middle School,890,Brown K,LAK01 AM,8:05:00 AM,7:58:26 AM,,7:58:26 AM,,,
8/12/2025 12:00:00 AM,Lakewood Middle School,891,Johnson T,LAK02 AM,8:05:00 AM,7:42:24 AM,,7:42:24 AM,,,
8/12/2025 12:00:00 AM,Lakewood Middle School,892,Anderson C,LAK03 AM,8:05:00 AM,7:53:31 AM,,7:53:31 AM,,,
