Date,Campus,Bus,Driver,Route,Scheduled Time,Entry Time,Exit Time,Last Load Time,Time Difference between Entry Time and Scheduled Time,Time Difference between Last Load Time and Scheduled Time,NumberLoadedAtCampus
8/12/2025 12:00:00 AM,Anderson Elementary,900,Williams M,AND01 PM,2:40:00 PM,2:59:34 PM,,2:59:34 PM,,,
8/12/2025 12:00:00 AM,Anderson Elementary,901,Anderson C,AND02 PM,2:40:00 PM,2:47:02 PM,,2:47:02 PM,,,
8/12/2025 12:00:00 AM,Anderson Elementary,902,Davis R,AND03 PM,2:40:00 PM,2:51:42 PM,,2:51:42 PM,,,
8/12/2025 12:00:00 AM,Anderson Elementary,903,Brown K,AND04 PM,2:40:00 PM,3:02:14 PM,,3:02:14 PM,,,
8/12/2025 12:00:00 AM,Anderson Elementary,904,Johnson T,AND05 PM,2:40:00 PM,2:51:41 PM,,2:51:41 PM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,910,Miller S,BAM01 PM,2:40:00 PM,3:23:23 PM,,3:23:23 PM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,911,Taylor B,BAM02 PM,2:40:00 PM,3:04:04 PM,,3:04:04 PM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,912,Anderson C,BAM03 PM,2:40:00 PM,3:35:17 PM,,3:35:17 PM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,913,Miller S,BAM04 PM,2:40:00 PM,3:01:58 PM,,3:01:58 PM,,,
8/12/2025 12:00:00 AM,Bammel Elementary,914,Anderson C,BAM05 PM,2:40:00 PM,3:40:00 PM,,3:40:00 PM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,920,Williams M,COO01 PM,2:40:00 PM,3:03:05 PM,,3:03:05 PM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,921,Williams M,COO02 PM,2:40:00 PM,3:01:55 PM,,3:01:55 PM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,922,Anderson C,COO03 PM,2:40:00 PM,3:25:07 PM,,3:25:07 PM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,923,Johnson T,COO04 PM,2:40:00 PM,2:52:04 PM,,2:52:04 PM,,,
8/12/2025 12:00:00 AM,Cooper Elementary,924,Anderson C,COO05 PM,2:40:00 PM,3:00:51 PM,,3:00:51 PM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,930,Moore A,HER01 PM,2:40:00 PM,3:05:06 PM,,3:05:06 PM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,931,Williams M,HER02 PM,2:40:00 PM,2:52:55 PM,,2:52:55 PM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,932,Anderson C,HER03 PM,2:40:00 PM,2:52:10 PM,,2:52:10 PM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,933,Moore A,HER04 PM,2:40:00 PM,3:36:29 PM,,3:36:29 PM,,,
8/12/2025 12:00:00 AM,Heritage Elementary,934,Taylor B,HER05 PM,2:40:00 PM,3:08:20 PM,,3:08:20 PM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,940,Anderson C,JEN01 PM,2:40:00 PM,3:13:38 PM,,3:13:38 PM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,941,Williams M,JEN02 PM,2:40:00 PM,3:06:37 PM,,3:06:37 PM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,942,Miller S,JEN03 PM,2:40:00 PM,2:59:20 PM,,2:59:20 PM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,943,Taylor B,JEN04 PM,2:40:00 PM,2:56:56 PM,,2:56:56 PM,,,
8/12/2025 12:00:00 AM,Jenkins Elementary,944,Miller S,JEN05 PM,2:40:00 PM,3:02:19 PM,,3:02:19 PM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,950,Brown K,LEW01 PM,2:40:00 PM,3:07:21 PM,,3:07:21 PM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,951,Taylor B,LEW02 PM,2:40:00 PM,2:49:40 PM,,2:49:40 PM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,952,Taylor B,LEW03 PM,2:40:00 PM,,,2:49:37 PM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,953,Anderson C,LEW04 PM,2:40:00 PM,3:06:15 PM,,3:06:15 PM,,,
8/12/2025 12:00:00 AM,Lewis Elementary,954,Anderson C,LEW05 PM,2:40:00 PM,2:50:56 PM,,2:50:56 PM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,960,Wilson J,MAR01 PM,2:40:00 PM,3:07:06 PM,,3:07:06 PM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,961,Taylor B,MAR02 PM,2:40:00 PM,2:51:25 PM,,2:51:25 PM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,962,Miller S,MAR03 PM,2:40:00 PM,3:14:56 PM,,3:14:56 PM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,963,Miller S,MAR04 PM,2:40:00 PM,3:01:07 PM,,3:01:07 PM,,,
8/12/2025 12:00:00 AM,Marshall Elementary,964,Miller S,MAR05 PM,2:40:00 PM,3:08:47 PM,,3:08:47 PM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,970,Williams M,REY01 PM,2:40:00 PM,3:27:19 PM,,3:27:19 PM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,971,Miller S,REY02 PM,2:40:00 PM,2:50:39 PM,,2:50:39 PM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,972,Johnson T,REY03 PM,2:40:00 PM,2:59:28 PM,,2:59:28 PM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,973,Brown K,REY04 PM,2:40:00 PM,2:52:43 PM,,2:52:43 PM,,,
8/12/2025 12:00:00 AM,Reynolds Elementary,974,Johnson T,REY05 PM,2:40:00 PM,3:05:36 PM,,3:05:36 PM,,,
8/12/2025 12:00:00 AM,Westfield Middle School,980,Moore A,WES01 PM,3:10:00 PM,3:20:51 PM,,3:20:51 PM,,,
8/12/2025 12:00:00 AM,Westfield Middle School,981,Johnson T,WES02 PM,3:10:00 PM,3:32:38 PM,,3:32:38 PM,,,
8/12/2025 12:00:00 AM,Westfield Middle School,982,Anderson C,WES03 PM,3:10:00 PM,3:22:53 PM,,3:22:53 PM,,,
8/12/2025 12:00:00 AM,Westfield Middle School,983,Davis R,WES04 PM,3:10:00 PM,3:32:05 PM,,3:32:05 PM,,,
8/12/2025 12:00:00 AM,Lakewood Middle School,990,Brown K,LAK01 PM,3:10:00 PM,3:21:53 PM,,3:21:53 PM,,,
8/12/2025 12:00:00 AM,Lakewood Middle School,991,Johnson T,LAK02 PM,3:10:00 PM,4:08:57 PM,,4:08:57 PM,,,
8/12/2025 12:00:00 AM,Lakewood Middle School,992,Anderson C,LAK03 PM,3:10:00 PM,3:25:42 PM,,3:25:42 PM,,,
8/12/2025 12:00:00 AM,Lakewood Middle School,993,Brown K,LAK04 PM,3:10:00 PM,3:15:05 PM,,3:15:05 PM,,,
8/12/2025 12:00:00 AM,Riverside Middle School,1000,Taylor B,RIV01 PM,3:10:00 PM,3:27:17 PM,,3:27:17 PM,,,
8/12/2025 12:00:00 AM,Riverside Middle School,1001,Williams M,RIV02 PM,3:10:00 PM,3:35:02 PM,,3:35:02 PM,,,
8/12/2025 12:00:00 AM,Riverside Middle School,1002,Johnson T,RIV03 PM,3:10:00 PM,3:55:44 PM,,3:55:44 PM,,,
8/12/2025 12:00:00 AM,Riverside Middle School,1003,Thomas D,RIV04 PM,3:10:00 PM,3:24:36 PM,,3:24:36 PM,,,
8/12/2025 12:00:00 AM,Metro High School,1010,Davis R,MET01 PM,3:55:00 PM,4:03:50 PM,,4:03:50 PM,,,
8/12/2025 12:00:00 AM,Metro High School,1011,Anderson C,MET02 PM,3:55:00 PM,4:52:31 PM,,4:52:31 PM,,,
8/12/2025 12:00:00 AM,Metro High School,1012,Taylor B,MET03 PM,3:55:00 PM,4:43:49 PM,,4:43:49 PM,,,
8/12/2025 12:00:00 AM,Northgate High School,1020,Thomas D,NOR01 PM,3:55:00 PM,4:14:36 PM,,4:14:36 PM,,,
8/12/2025 12:00:00 AM,Northgate High School,1021,Johnson T,NOR02 PM,3:55:00 PM,4:08:56 PM,,4:08:56 PM,,,
8/12/2025 12:00:00 AM,Northgate High School,1022,Johnson T,NOR03 PM,3:55:00 PM,4:07:44 PM,,4:07:44 PM,,,
8/13/2025 12:00:00 AM,Anderson Elementary,900,Johnson T,AND01 PM,2:40:00 PM,3:00:35 PM,,3:00:35 PM,,,
